seed_id,n_samples,predicted_f_dark,observed_floor,within_population_sd
22,1650,0.7707563228829715,0.7786513947434425,0.014490095671603642
22,2500,0.732432652758855,0.7350458142244288,0.014436334239844563
22,3800,0.6960970633083173,0.6958747428853519,0.011501053929689378
22,5700,0.6676875685409969,0.6601369235004603,0.01066452923676218
22,8600,0.6147376444768979,0.6149905128716379,0.011290852570750961
22,13000,0.5513507478753069,0.5618639072564366,0.009670902839943258
22,19500,0.5145304631711259,0.5091321042804438,0.010442485144994653
22,29200,0.4514530379490385,0.45309904037152116,0.010784102885887294
23,500,0.8425941793407277,0.8447953011438376,0.01477029128675081
23,750,0.8249166060795885,0.8266652820724175,0.010119231730241433
23,1100,0.8118795911037114,0.8084982781488584,0.012010957359858918
23,1650,0.7894207596736557,0.7835836153266562,0.014476654662292521
23,2500,0.7383259683568254,0.7365530445999923,0.017618222770554113
23,3800,0.6900145276437739,0.6914018877557834,0.012995887242912079
23,5700,0.6488512729416775,0.6552859007359796,0.010255192458422591
23,8600,0.6304977035880909,0.6162027896704296,0.011010526390533003
23,13000,0.5649970312858925,0.5700675538716473,0.012179061411004026
23,19500,0.5274417484740207,0.520058180088528,0.00986348946741507
23,29200,0.4649915173634707,0.4693561098981733,0.008905651087904073
