seed_id,lambda,active_coordinates,c_i,n_samples,evidence,power
1,0.48,3,0.16666666666666663,192,1.6986931199999993,0.15142857142857144
1,0.48,3,0.16666666666666663,294,2.6011238399999987,0.2342857142857143
1,0.48,3,0.16666666666666663,452,3.9990067199999983,0.21142857142857144
1,0.48,3,0.16666666666666663,701,6.201999359999998,0.4828571428571429
1,0.48,5,0.2,80,0.8493465599999999,0.13142857142857142
1,0.48,5,0.2,104,1.104150528,0.15714285714285714
1,0.48,5,0.2,160,1.6986931199999997,0.26285714285714284
1,0.48,5,0.2,245,2.6011238399999996,0.29714285714285715
1,0.48,5,0.2,377,4.0025456639999994,0.41714285714285715
1,0.48,5,0.2,584,6.200229888,0.38857142857142857
1,0.48,8,0.21875,80,0.9289727999999998,0.12
1,0.48,8,0.21875,95,1.1031551999999998,0.15428571428571428
1,0.48,8,0.21875,146,1.6953753599999997,0.15428571428571428
1,0.48,8,0.21875,224,2.6011238399999996,0.24571428571428572
1,0.48,8,0.21875,344,3.9945830399999993,0.3142857142857143
1,0.48,8,0.21875,534,6.200893439999999,0.4057142857142857
1,0.57,2,0.12500000000000006,80,1.0556001000000002,0.14857142857142858
1,0.57,2,0.12500000000000006,83,1.0951851037500002,0.07142857142857142
1,0.57,2,0.12500000000000006,129,1.7021551612500003,0.26
1,0.57,2,0.12500000000000006,197,2.5994152462500004,0.22
1,0.57,2,0.12500000000000006,303,3.9980853787500004,0.31142857142857144
1,0.57,2,0.12500000000000006,470,6.201650587500001,0.49714285714285716
1,0.57,3,0.16666666666666663,80,1.4074667999999992,0.15714285714285714
1,0.57,3,0.16666666666666663,80,1.4074667999999992,0.21714285714285714
1,0.57,3,0.16666666666666663,97,1.7065534949999992,0.13142857142857142
1,0.57,3,0.16666666666666663,148,2.6038135799999984,0.3
1,0.57,3,0.16666666666666663,227,3.9936870449999975,0.3142857142857143
1,0.57,3,0.16666666666666663,352,6.1928539199999975,0.5628571428571428
1,0.57,5,0.2,80,1.6889601599999995,0.17714285714285713
1,0.57,5,0.2,80,1.6889601599999995,0.2
1,0.57,5,0.2,81,1.7100721619999995,0.16
1,0.57,5,0.2,123,2.5967762459999992,0.2257142857142857
1,0.57,5,0.2,189,3.9901683779999995,0.35714285714285715
1,0.57,5,0.2,294,6.2069285879999985,0.4685714285714286
1,0.57,8,0.21875,80,1.8473001749999995,0.1657142857142857
1,0.57,8,0.21875,80,1.8473001749999995,0.20285714285714285
1,0.57,8,0.21875,80,1.8473001749999995,0.19142857142857142
1,0.57,8,0.21875,113,2.609311497187499,0.2342857142857143
1,0.57,8,0.21875,173,3.994786628437499,0.3914285714285714
1,0.57,8,0.21875,268,6.188455586249998,0.4828571428571429
